customer_id,region,acquisition_channel,plan_tier,tenure_months,num_orders_12m,days_since_last_order,avg_order_value,email_engagement_rate,app_logins_30d,support_tickets_12m,discount_rate,satisfaction_score,annual_margin,churned
KL100023,CH,Paid Search,Plus,2,3,218,48.62,0.318,2,0,0.579,4.3,55.43,1
KL100024,CH,Organic,Premium,23,5,171,49.99,0.291,0,1,0.173,3.5,94.98,0
KL100025,DE,Paid Search,Premium,4,4,168,61.0,0.586,0,1,0.278,3.7,92.72,1
KL100026,DE,Paid Search,Plus,5,6,155,31.07,0.255,1,1,0.347,3.4,70.84,0
KL100027,DE,Social,Premium,27,10,163,56.04,0.407,2,0,0.417,5.0,212.95,0
KL100028,DE,Referral,Plus,12,6,144,41.72,0.551,3,2,0.282,4.1,95.12,0
KL100029,AT,Paid Search,Basic,31,6,136,22.63,0.348,2,2,0.034,3.7,51.6,0
KL100030,AT,Paid Search,Premium,13,2,214,70.9,0.429,4,0,0.182,4.0,53.88,0
KL100031,Other,Paid Search,Plus,11,2,202,40.03,0.088,0,1,0.056,4.0,30.42,1
KL100032,DE,Paid Search,Basic,3,2,199,29.34,0.572,1,0,0.271,4.9,22.3,0
KL100033,DE,Organic,Basic,3,4,217,21.47,0.653,2,0,0.137,5.0,32.63,0
KL100034,DE,Organic,Basic,27,5,178,33.98,0.425,0,1,0.208,4.2,64.56,0
KL100035,DE,Social,Premium,4,2,181,66.46,0.568,3,0,0.419,4.0,50.51,0
KL100036,DE,Paid Search,Basic,8,1,218,32.21,0.298,0,0,0.384,4.1,12.24,1
KL100037,DE,Paid Search,Basic,14,2,181,34.08,0.306,1,1,0.582,4.1,25.9,1
KL100038,DE,Organic,Plus,20,3,227,48.92,0.281,0,0,0.497,4.7,55.77,0
KL100039,AT,Social,Basic,27,7,165,31.32,0.318,0,0,0.261,3.5,83.31,0
KL100040,DE,Organic,Premium,4,5,144,66.39,0.416,2,1,0.545,5.0,126.14,1
KL100041,CH,Paid Search,Basic,35,8,161,36.84,0.414,3,1,0.643,3.7,111.99,0
KL100042,AT,Social,Basic,7,1,184,29.3,0.515,2,1,0.369,4.4,11.13,0
KL100043,DE,Paid Search,Basic,62,4,224,24.69,0.396,3,1,0.425,4.0,37.53,1
KL100044,CH,Referral,Plus,3,6,169,49.34,0.297,1,1,0.322,3.8,112.5,0
KL100045,CH,Organic,Plus,3,5,202,50.37,0.125,0,1,0.26,4.1,95.7,0
KL100046,DE,Social,Basic,6,10,118,27.59,0.287,0,0,0.571,4.7,104.84,0
KL100047,DE,Referral,Basic,4,3,189,32.96,0.048,0,2,0.102,3.8,37.57,1
KL100048,AT,Paid Search,Premium,3,11,147,68.64,,0,1,0.216,5.0,286.92,0
KL100049,DE,Social,Plus,72,3,190,42.72,0.184,2,2,0.275,3.2,48.7,0
KL100050,DE,Paid Search,Plus,6,3,165,30.24,0.486,4,0,0.526,5.0,34.47,0
KL100051,DE,Social,Basic,2,1,237,19.19,0.454,1,0,0.198,4.8,7.29,1
KL100052,CH,Referral,Premium,4,7,174,62.04,,2,1,0.25,4.3,165.03,0
KL100053,AT,Social,Plus,35,8,118,42.33,0.311,1,0,0.314,3.9,128.68,0
KL100054,AT,Referral,Basic,1,1,199,18.59,0.114,0,0,0.154,4.5,7.06,0
KL100055,CH,Paid Search,Premium,42,7,135,48.25,0.365,0,0,0.413,4.3,128.34,0
KL100056,DE,Paid Search,Premium,5,6,155,64.18,0.28,4,0,0.111,5.0,146.33,0
KL100057,DE,Organic,Plus,8,6,156,42.07,0.36,2,1,0.516,4.1,95.92,0
KL100058,DE,Social,Plus,67,3,188,48.92,0.778,3,0,0.666,4.4,55.77,0
KL100059,DE,Referral,Basic,20,5,130,43.46,0.435,0,0,0.506,,82.57,0
KL100060,AT,Social,Plus,36,2,189,31.13,0.322,3,0,0.161,,23.66,1
KL100061,DE,Organic,Basic,11,0,254,30.73,0.291,1,1,0.337,4.4,11.68,1
KL100062,DE,Paid Search,Plus,1,7,224,61.03,0.343,4,0,0.372,3.8,162.34,0
KL100063,CH,Social,Basic,8,3,156,17.46,0.619,2,1,0.442,4.0,19.9,0
KL100064,AT,Referral,Basic,7,3,234,20.19,0.744,1,0,0.18,3.7,23.02,1
KL100065,DE,Organic,Premium,15,6,250,72.77,0.285,2,1,0.246,4.5,165.92,0
KL100066,DE,Organic,Basic,11,2,197,29.51,0.533,1,1,0.134,4.6,22.43,0
KL100067,DE,Paid Search,Plus,20,5,198,44.2,0.704,2,0,0.228,4.1,83.98,0
KL100068,DE,Organic,Basic,7,3,232,32.96,0.324,1,0,0.163,5.0,37.57,1
KL100069,DE,Referral,Basic,12,7,149,33.92,0.274,0,1,0.079,,90.23,1
KL100070,DE,Paid Search,Basic,20,0,253,31.39,0.28,0,0,0.605,4.6,11.93,1
KL100071,DE,Paid Search,Basic,10,3,189,32.37,0.278,2,0,0.564,4.5,36.9,0
KL100072,CH,Organic,Basic,9,1,246,18.41,0.233,2,0,0.426,5.0,7.0,1
KL100073,DE,Paid Search,Basic,28,3,249,35.86,0.487,2,2,0.215,3.9,40.88,1
KL100074,DE,Referral,Plus,19,5,224,54.51,0.176,0,0,0.453,4.7,103.57,1
KL100075,DE,Paid Search,Basic,25,4,177,36.87,0.207,2,0,0.281,4.7,56.04,0
KL100076,DE,Organic,Basic,20,5,201,31.99,0.467,2,0,0.425,4.6,60.78,0
KL100077,AT,Organic,Basic,3,6,156,43.1,0.262,1,2,0.332,3.5,98.27,0
KL100078,DE,Referral,Basic,10,3,156,29.49,0.12,0,1,0.231,2.6,33.62,0
KL100079,CH,Referral,Basic,11,2,196,35.94,0.294,1,1,0.497,4.1,27.31,0
KL100080,AT,Organic,Basic,15,2,233,41.55,0.419,1,3,0.304,3.6,31.58,0
KL100081,DE,Paid Search,Plus,42,7,154,39.09,0.608,2,1,0.181,4.1,103.98,0
KL100082,CH,Organic,Plus,10,3,247,52.49,0.713,5,1,0.627,3.1,59.84,1
KL100083,DE,Paid Search,Premium,11,9,151,55.95,0.764,3,2,0.275,2.9,191.35,0
KL100084,DE,Organic,Plus,6,5,143,35.09,0.472,3,2,0.545,3.5,66.67,0
KL100085,DE,Social,Plus,37,5,170,34.13,0.338,0,1,0.162,3.6,64.85,0
KL100086,AT,Referral,Basic,45,8,134,10.81,0.448,2,0,0.591,4.5,32.86,0
KL100087,DE,Organic,Basic,28,4,234,22.27,0.119,0,2,0.178,4.3,33.85,1
KL100088,DE,Paid Search,Plus,11,6,190,42.66,0.221,1,0,0.356,5.0,97.26,1
KL100089,DE,Organic,Basic,26,6,170,25.55,0.682,5,0,0.2,4.4,58.25,0
KL100090,DE,Organic,Basic,9,4,214,17.79,0.342,0,4,0.246,3.4,27.04,1
KL100091,AT,Organic,Premium,32,11,105,45.27,0.207,1,0,0.653,4.4,189.23,0
KL100092,DE,Organic,Basic,26,4,148,22.0,0.459,2,1,0.073,4.0,33.44,0
KL100093,DE,Referral,Basic,34,3,152,21.21,0.381,3,1,0.672,4.0,24.18,0
KL100094,DE,Organic,Premium,5,6,108,80.16,0.081,0,0,0.492,4.5,182.76,0
KL100095,AT,Social,Basic,9,7,127,27.85,0.48,2,0,0.608,4.4,74.08,0
KL100096,DE,Organic,Basic,24,8,176,42.03,0.43,0,1,0.265,3.5,127.77,0
KL100097,DE,Paid Search,Basic,38,1,238,22.26,0.116,2,0,0.404,4.1,8.46,1
KL100098,DE,Paid Search,Basic,46,2,174,36.41,0.444,1,0,0.238,4.5,27.67,0
KL100099,Other,Referral,Premium,15,9,78,66.95,0.581,5,0,0.381,3.8,228.97,0
KL100100,CH,Organic,Plus,9,5,166,35.52,0.273,1,0,0.384,4.5,67.49,0
KL100101,AT,Organic,Basic,9,1,229,30.06,0.507,1,0,0.269,4.7,11.42,1
KL100102,DE,Social,Basic,30,3,225,26.35,0.226,1,1,0.328,4.3,30.04,1
KL100103,Other,Social,Basic,2,1,221,25.56,0.454,3,1,0.594,3.2,9.71,1
KL100104,CH,Social,Plus,3,4,153,28.71,0.758,3,0,0.563,4.2,43.64,0
KL100105,AT,Organic,Basic,1,4,213,43.76,0.229,2,2,0.286,4.5,66.52,0
KL100106,DE,Organic,Basic,23,6,186,32.34,0.432,1,0,0.851,4.5,73.74,0
KL100107,DE,Social,Plus,2,7,190,33.09,0.358,2,1,0.356,3.9,88.02,1
KL100108,DE,Paid Search,Premium,3,4,157,68.12,0.204,0,1,0.327,3.6,103.54,1
KL100109,CH,Paid Search,Premium,26,8,174,62.22,0.076,0,2,0.24,3.3,189.15,0
KL100110,DE,Organic,Plus,2,7,194,53.21,0.205,1,0,0.185,3.5,141.54,1
KL100111,DE,Organic,Plus,6,1,165,39.67,0.073,1,0,0.426,5.0,15.07,0
KL100112,DE,Referral,Plus,6,5,158,41.63,0.516,0,0,0.572,3.5,79.1,0
KL100113,DE,Social,Premium,71,11,79,60.0,0.358,3,0,0.079,4.9,250.8,0
KL100114,DE,Organic,Basic,6,1,184,31.85,0.081,1,2,0.364,4.2,12.1,1
KL100115,CH,Referral,Basic,6,1,208,27.87,0.286,1,0,0.228,4.9,10.59,0
KL100116,AT,Paid Search,Basic,2,1,161,38.0,0.348,3,0,0.436,3.8,14.44,0
KL100117,AT,Organic,Premium,23,6,211,67.47,0.814,4,1,0.135,3.4,153.83,0
KL100118,DE,Paid Search,Premium,32,6,211,84.55,0.208,1,2,0.313,4.3,192.77,1
KL100119,AT,Social,Plus,12,10,135,40.88,0.359,1,0,0.246,4.5,155.34,0
KL100120,DE,Paid Search,Basic,8,8,133,21.66,0.81,3,0,0.509,4.4,65.85,0
KL100121,AT,Paid Search,Premium,4,7,162,59.2,0.356,1,0,0.347,4.8,157.47,0
KL100122,DE,Social,Basic,3,3,247,22.24,0.444,2,0,0.469,3.9,25.35,1
KL100123,DE,Organic,Basic,8,5,202,21.49,0.393,1,0,0.269,5.0,40.83,0
KL100124,DE,Referral,Plus,44,10,77,54.16,0.733,1,0,0.29,4.4,205.81,0
KL100125,DE,Paid Search,Plus,2,4,109,39.95,0.513,4,1,0.106,3.9,60.72,0
KL100126,DE,Paid Search,Premium,58,5,148,67.43,0.519,5,1,0.386,3.5,128.12,0
KL100127,DE,Social,Basic,2,3,194,17.81,0.837,3,0,0.171,4.2,20.3,0
KL100128,DE,Paid Search,Basic,72,3,136,28.04,0.441,0,0,0.262,4.3,31.97,0
KL100129,DE,Paid Search,Basic,2,2,197,9.31,0.484,3,1,0.269,,7.08,1
KL100130,DE,Social,Basic,6,0,161,30.88,0.265,1,2,0.502,3.6,11.73,1
KL100131,Other,Referral,Premium,22,3,196,60.8,0.153,1,0,0.141,4.1,69.31,0
KL100132,DE,Social,Basic,12,1,220,40.87,0.319,2,0,0.219,3.9,15.53,0
KL100133,DE,Social,Basic,9,5,240,34.67,0.128,0,0,0.25,4.9,65.87,0
KL100134,DE,Organic,Basic,72,6,167,34.49,0.375,1,0,0.307,5.0,78.64,0
KL100135,DE,Paid Search,Plus,60,5,168,35.06,0.513,2,1,0.463,4.9,66.61,0
KL100136,Other,Paid Search,Premium,16,4,235,67.96,0.298,2,1,0.569,3.8,103.3,1
KL100137,DE,Organic,Basic,6,3,219,43.73,0.102,0,0,0.329,4.0,49.85,1
KL100138,CH,Social,Basic,19,3,197,21.98,0.165,2,2,0.299,4.1,25.06,1
KL100139,DE,Organic,Premium,5,5,169,58.35,0.455,4,0,0.166,3.9,110.86,0
KL100140,DE,Organic,Plus,8,7,224,42.49,0.204,1,0,0.304,4.5,113.02,1
KL100141,DE,Organic,Basic,15,3,170,30.06,0.663,1,1,0.331,3.5,34.27,0
KL100142,Other,Organic,Basic,16,4,136,33.47,0.548,3,0,0.252,4.0,50.87,0
KL100143,DE,Organic,Premium,12,4,181,69.41,0.326,1,1,0.149,4.1,105.5,0
KL100144,DE,Paid Search,Plus,48,5,169,43.93,0.326,3,1,0.377,3.4,83.47,0
KL100145,DE,Paid Search,Basic,6,2,246,22.42,0.291,2,0,0.28,4.2,17.04,1
KL100146,DE,Organic,Basic,17,4,193,44.0,0.369,0,1,0.178,4.8,66.88,0
KL100147,DE,Organic,Basic,12,3,228,40.23,0.42,3,1,0.463,,45.86,1
KL100148,DE,Social,Basic,10,2,114,31.92,0.276,0,0,0.167,4.6,24.26,0
KL100149,DE,Organic,Basic,1,2,192,38.2,0.214,0,1,0.449,5.0,29.03,1
KL100150,CH,Paid Search,Basic,13,1,264,27.9,0.468,2,2,0.285,,10.6,1
KL100151,CH,Paid Search,Basic,13,7,126,18.55,0.281,1,1,0.312,3.9,49.34,0
KL100152,DE,Paid Search,Basic,63,5,170,35.46,0.38,4,1,0.393,3.6,67.37,0
KL100153,DE,Referral,Basic,19,6,201,18.18,0.486,6,0,0.243,5.0,41.45,0
KL100154,DE,Paid Search,Basic,8,2,186,44.89,0.67,2,3,0.132,3.1,34.12,0
KL100155,AT,Referral,Plus,19,4,215,33.33,0.8,3,0,0.505,,50.66,0
KL100156,DE,Social,Basic,2,2,183,39.67,,4,0,0.345,5.0,30.15,0
KL100157,AT,Organic,Premium,8,3,195,80.39,0.539,3,0,0.125,3.8,91.64,0
KL100158,AT,Organic,Premium,7,2,227,54.6,0.672,4,0,0.083,4.8,41.5,0
KL100159,CH,Paid Search,Premium,15,8,118,53.82,0.453,1,0,0.356,4.2,163.61,0
KL100160,DE,Paid Search,Basic,30,4,160,32.52,0.464,1,0,0.193,3.5,49.43,0
KL100161,CH,Paid Search,Basic,25,4,220,40.82,0.23,0,1,0.211,3.6,62.05,0
KL100162,DE,Organic,Plus,12,6,144,48.15,0.504,3,0,0.443,5.0,109.78,0
KL100163,DE,Organic,Basic,18,4,192,21.9,0.4,0,0,0.44,,33.29,1
KL100164,DE,Paid Search,Basic,4,5,214,40.92,0.163,0,0,0.491,4.1,77.75,0
KL100165,DE,Social,Basic,5,1,215,46.49,0.883,4,2,0.278,3.6,17.67,1
KL100166,CH,Social,Plus,18,5,190,34.97,0.531,0,2,0.169,2.9,66.44,1
KL100167,CH,Referral,Plus,3,3,250,45.65,0.405,2,0,0.283,4.5,52.04,0
KL100168,DE,Organic,Basic,6,2,285,33.63,0.687,5,0,0.249,3.9,25.56,0
KL100169,Other,Paid Search,Premium,14,5,185,63.36,0.337,2,2,0.431,3.9,120.38,0
KL100170,DE,Referral,Plus,8,3,181,35.43,0.237,0,0,0.477,4.3,40.39,1
KL100171,DE,Social,Basic,6,3,225,20.09,0.131,0,0,0.211,4.3,22.9,0
KL100172,DE,Paid Search,Basic,10,2,177,14.39,0.476,2,1,0.134,4.6,10.94,0
KL100173,Other,Paid Search,Basic,9,1,258,35.51,,2,2,0.429,4.1,13.49,1
KL100174,DE,Organic,Premium,4,4,169,61.49,0.593,0,0,0.201,4.5,93.46,0
KL100175,DE,Referral,Plus,3,2,189,55.89,0.381,2,0,0.275,,42.48,1
KL100176,DE,Paid Search,Plus,29,4,152,46.95,0.666,2,1,0.366,4.1,71.36,0
KL100177,Other,Paid Search,Plus,49,10,110,41.91,0.128,1,0,0.555,4.2,159.26,0
KL100178,CH,Paid Search,Basic,42,2,245,40.2,0.451,2,0,0.441,5.0,30.55,1
KL100179,AT,Paid Search,Premium,4,6,184,64.97,0.467,2,1,0.166,4.1,148.13,0
KL100180,CH,Organic,Premium,36,13,114,61.05,0.155,1,0,0.254,4.3,301.59,0
KL100181,CH,Social,Plus,2,1,284,48.42,0.58,1,0,0.194,4.2,18.4,0
KL100182,DE,Paid Search,Basic,6,4,192,24.09,0.437,0,0,0.343,4.2,36.62,1
KL100183,DE,Organic,Basic,12,2,203,29.82,,2,0,0.251,4.3,22.66,0
KL100184,CH,Paid Search,Basic,21,4,149,31.3,0.313,0,0,0.396,4.7,47.58,0
KL100185,AT,Referral,Basic,3,4,160,28.87,0.165,1,0,0.309,4.3,43.88,0
KL100186,DE,Paid Search,Plus,19,4,155,45.42,0.441,1,0,0.278,4.6,69.04,0
KL100187,DE,Paid Search,Plus,26,5,156,45.43,0.441,1,0,0.193,4.0,86.32,0
KL100188,AT,Paid Search,Premium,1,4,172,66.8,0.18,0,1,0.164,,101.54,1
KL100189,DE,Social,Basic,11,1,202,24.09,0.423,0,1,0.38,4.1,9.15,0
KL100190,Other,Social,Basic,22,5,204,20.01,0.576,4,0,0.498,4.3,38.02,0
KL100191,DE,Social,Basic,5,0,219,22.35,0.43,2,0,0.39,4.5,8.49,1
KL100192,DE,Organic,Premium,72,9,211,59.86,0.219,0,1,0.087,4.8,204.72,0
KL100193,CH,Referral,Plus,3,5,202,47.52,0.504,1,0,0.219,4.4,90.29,1
KL100194,DE,Referral,Basic,2,3,171,42.05,0.469,0,0,0.541,3.1,47.94,0
KL100195,DE,Paid Search,Plus,59,5,196,42.19,0.582,0,0,0.162,4.5,80.16,0
KL100196,DE,Paid Search,Plus,4,6,177,52.08,0.114,0,0,0.249,,118.74,0
KL100197,CH,Organic,Basic,41,8,205,22.61,0.475,2,1,0.145,5.0,68.73,0
KL100198,DE,Paid Search,Basic,15,5,209,27.07,0.172,0,0,0.141,3.9,51.43,0
KL100199,DE,Organic,Basic,10,3,198,26.86,0.667,1,0,0.057,4.2,30.62,1
KL100200,CH,Organic,Basic,63,11,193,32.96,0.271,2,1,0.424,4.6,137.77,0
KL100201,Other,Referral,Plus,37,4,208,37.28,0.317,2,1,0.402,3.6,56.67,0
KL100202,DE,Organic,Basic,22,5,201,34.15,0.246,0,1,0.271,4.1,64.89,0
KL100203,DE,Paid Search,Plus,9,3,249,45.01,0.343,2,1,0.435,,51.31,1
KL100204,DE,Organic,Plus,46,8,186,43.52,0.53,4,1,0.482,4.5,132.3,0
KL100205,DE,Paid Search,Plus,1,1,220,37.64,0.537,3,0,0.34,4.4,14.3,0
KL100206,DE,Paid Search,Premium,12,5,177,51.92,0.374,1,1,0.195,4.7,98.65,0
KL100207,AT,Organic,Basic,9,4,117,24.6,0.24,1,0,0.382,5.0,37.39,0
KL100208,DE,Paid Search,Plus,1,4,123,48.18,0.703,1,0,0.226,4.6,73.23,0
KL100209,DE,Referral,Basic,34,2,200,14.04,0.451,1,0,0.357,4.1,10.67,0
KL100210,AT,Paid Search,Plus,3,3,177,29.55,0.484,4,1,0.285,4.7,33.69,0
KL100211,DE,Referral,Plus,9,7,165,39.83,0.475,3,1,0.147,3.7,105.95,1
KL100212,DE,Social,Basic,8,3,232,21.38,0.283,0,1,0.266,3.9,24.37,1
KL100213,CH,Paid Search,Basic,23,0,193,53.81,0.245,1,1,0.541,3.9,20.45,1
KL100214,AT,Organic,Plus,10,4,133,44.02,0.666,3,1,0.336,4.5,66.91,0
KL100215,AT,Organic,Plus,7,5,135,38.86,0.615,5,0,0.353,3.7,73.83,0
KL100216,DE,Social,Plus,6,6,138,51.17,0.505,2,1,0.2,4.3,116.67,0
KL100217,DE,Paid Search,Basic,19,4,148,27.55,0.603,1,1,0.517,4.1,41.88,0
KL100218,Other,Paid Search,Plus,5,6,174,41.38,0.383,1,0,0.091,4.8,94.35,0
KL100219,DE,Social,Plus,30,4,242,56.66,0.133,0,0,0.512,3.9,86.12,1
KL100220,DE,Organic,Basic,2,2,226,11.4,0.201,1,0,0.265,3.7,8.66,0
KL100221,DE,Social,Plus,10,8,180,34.34,0.346,4,0,0.553,3.2,104.39,0
KL100222,AT,Organic,Plus,20,4,196,46.31,0.272,1,1,0.105,4.7,70.39,0
KL100223,Other,Referral,Plus,18,3,153,34.41,0.557,2,0,0.28,5.0,39.23,0
KL100224,DE,Organic,Basic,16,0,298,20.31,0.258,1,0,0.42,5.0,7.72,1
KL100225,Other,Organic,Basic,7,1,201,34.66,0.649,2,2,0.167,3.7,13.17,0
KL100226,DE,Social,Premium,18,5,207,59.64,0.708,2,0,0.187,4.3,113.32,0
KL100227,DE,Organic,Premium,34,10,62,68.0,0.156,0,1,0.232,4.4,258.4,0
KL100228,AT,Referral,Basic,25,2,201,26.03,,2,2,0.29,4.1,19.78,0
KL100229,DE,Social,Premium,11,7,158,67.85,0.372,3,2,0.088,3.0,180.48,0
KL100230,DE,Organic,Basic,16,2,195,27.27,0.297,2,0,0.602,4.4,20.73,1
KL100231,DE,Organic,Premium,2,3,147,71.75,0.721,4,0,0.34,4.5,81.8,0
KL100232,Other,Referral,Basic,14,2,211,35.66,0.221,1,0,0.499,4.7,27.1,1
KL100233,DE,Paid Search,Basic,2,4,231,22.46,0.25,1,2,0.324,3.8,34.14,1
KL100234,Other,Referral,Premium,8,9,221,52.13,0.227,2,1,0.145,3.3,178.28,0
KL100235,CH,Organic,Basic,32,4,246,26.93,0.502,1,0,0.109,4.7,40.93,0
KL100236,DE,Referral,Plus,9,5,224,37.37,0.419,4,1,0.159,3.7,71.0,0
KL100237,CH,Paid Search,Basic,17,2,264,22.31,0.591,4,2,0.184,3.5,16.96,1
KL100238,DE,Social,Basic,10,4,252,14.15,0.404,1,0,0.319,3.6,21.51,1
KL100239,DE,Paid Search,Premium,9,4,156,61.75,0.425,1,2,0.436,,93.86,0
KL100240,CH,Organic,Plus,32,5,189,42.34,0.302,1,0,0.76,4.4,80.45,0
KL100241,CH,Referral,Premium,45,11,87,60.27,0.64,4,0,0.274,4.3,251.93,0
KL100242,DE,Referral,Premium,8,7,183,64.61,0.758,9,1,0.522,3.7,171.86,0
KL100243,DE,Paid Search,Basic,6,4,179,33.21,0.56,4,0,0.244,5.0,50.48,0
KL100244,DE,Referral,Basic,6,0,215,39.35,0.281,1,3,0.157,4.3,14.95,1
KL100245,CH,Organic,Basic,13,5,170,40.29,0.446,2,1,0.05,4.1,76.55,0
KL100246,DE,Organic,Plus,25,4,101,36.81,0.502,1,0,0.224,3.3,55.95,0
KL100247,DE,Organic,Basic,26,2,137,22.01,0.679,3,0,0.21,4.0,16.73,0
KL100248,DE,Paid Search,Basic,7,2,234,16.94,,5,2,0.191,4.1,12.87,1
KL100249,DE,Organic,Plus,2,5,156,48.53,0.148,1,0,0.068,4.5,92.21,0
KL100250,AT,Paid Search,Basic,7,1,248,29.47,0.287,0,0,0.356,4.3,11.2,1
KL100251,CH,Organic,Plus,24,9,142,53.36,0.164,1,2,0.377,4.1,182.49,0
KL100252,DE,Social,Basic,19,6,116,29.45,0.296,1,0,0.178,4.5,67.15,0
KL100253,DE,Social,Basic,31,6,123,23.54,0.841,3,0,0.559,5.0,53.67,0
KL100254,DE,Social,Basic,62,4,164,27.61,0.242,0,1,0.018,3.7,41.97,0
KL100255,AT,Organic,Basic,5,2,172,26.26,0.504,4,0,0.421,4.6,19.96,0
KL100256,CH,Social,Plus,9,4,185,36.25,0.454,2,0,0.392,3.9,55.1,0
KL100257,DE,Organic,Basic,20,3,205,28.68,0.214,1,0,0.088,3.6,32.7,1
KL100258,DE,Social,Plus,26,2,216,35.0,0.245,2,0,0.329,3.6,26.6,0
KL100259,DE,Paid Search,Plus,17,3,204,53.12,0.399,1,0,0.514,3.9,60.56,0
KL100260,DE,Paid Search,Basic,31,3,227,14.23,0.734,4,1,0.152,4.6,16.22,0
KL100261,CH,Organic,Premium,4,7,199,74.62,0.476,3,0,0.542,3.1,198.49,0
KL100262,DE,Social,Premium,3,3,163,60.98,0.388,2,0,0.328,3.5,69.52,0
KL100263,DE,Referral,Basic,5,2,139,8.0,0.398,1,1,0.253,3.9,6.08,0
KL100264,Other,Social,Premium,33,4,164,50.61,0.135,1,0,0.094,4.5,76.93,0
KL100265,DE,Referral,Basic,6,3,199,27.47,0.645,1,2,0.217,3.8,31.32,0
KL100266,DE,Referral,Plus,10,5,162,38.62,0.27,1,0,0.528,4.4,73.38,0
KL100267,DE,Organic,Basic,72,7,186,31.26,0.515,3,2,0.453,3.3,83.15,0
KL100268,DE,Social,Plus,30,1,165,38.6,0.589,1,1,0.438,4.5,14.67,0
KL100269,DE,Paid Search,Plus,6,9,203,46.62,0.275,0,1,0.257,4.2,159.44,0
KL100270,DE,Paid Search,Premium,3,7,191,65.08,0.243,1,2,0.504,4.3,173.11,1
KL100271,DE,Organic,Premium,10,3,183,70.21,0.194,1,0,0.328,4.5,80.04,0
KL100272,DE,Referral,Basic,43,3,169,34.93,0.842,5,0,0.442,5.0,39.82,0
KL100273,DE,Social,Plus,5,8,151,46.06,0.515,4,2,0.265,3.6,140.02,0
KL100274,AT,Organic,Basic,8,3,236,25.62,0.301,2,1,0.574,3.6,29.21,1
KL100275,DE,Paid Search,Basic,11,3,182,39.38,0.548,5,0,0.193,4.2,44.89,0
KL100276,DE,Paid Search,Basic,19,5,160,27.46,0.13,1,0,0.551,4.1,52.17,1
KL100277,DE,Social,Premium,19,6,172,59.18,0.491,3,1,0.273,4.7,134.93,0
KL100278,CH,Referral,Plus,54,7,120,38.6,0.174,3,0,0.281,5.0,102.68,0
KL100279,CH,Organic,Basic,4,2,242,31.09,0.348,1,1,0.655,3.6,23.63,0
KL100280,DE,Paid Search,Premium,59,14,130,72.98,0.256,2,2,0.428,3.6,388.25,0
KL100281,DE,Paid Search,Plus,5,3,228,47.33,0.073,3,0,0.265,4.6,53.96,1
KL100282,DE,Paid Search,Basic,9,5,228,33.36,0.15,1,0,0.269,3.9,63.38,1
KL100283,DE,Paid Search,Basic,6,3,168,25.05,0.438,4,1,0.084,3.6,28.56,0
KL100284,DE,Organic,Plus,19,3,197,50.69,0.939,4,0,0.249,5.0,57.79,0
KL100285,DE,Organic,Plus,4,2,201,42.05,0.346,3,0,0.493,4.9,31.96,0
